Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33857-40199:Giannis Antetokounmpo,33857-40199,SF,Giannis,Antetokounmpo,56.133824965533094,68,12400,HOU@MIL,MIL,HOU,,,,,,61.67999999999999,30.7,32.1,0.13603071910076447,31.8,72.45,56.5,Giannis Antetokounmpo,22.122543438037805
33857-9644:James Harden,33857-9644,SG,James,Harden,58.508452079665496,71,12000,HOU@MIL,HOU,MIL,,,,,,69.52000000000001,30.5,40.6,0.7276954174139385,37.2,84.4,55.5,James Harden,28.74228234553757
33857-58462:Karl-Anthony Towns,33857-58462,C,Karl-Anthony,Towns,48.93661971830986,71,11800,LAC@MIN,MIN,LAC,,,,,,52.98,27.1,28.7,0.8278553388308058,31.2,52.7,52.8,Karl-Anthony Towns,22.716438457528454
33857-9488:LeBron James,33857-9488,SF,LeBron,James,52.057409215856474,54,11000,WAS@LAL,LAL,WAS,,Knee,,,,52.36,25.7,31.6,0.8996298580147305,32.4,54.0,52.0,LeBron James,23.539854736964248
33857-55062:Nikola Jokic,33857-55062,C,Nikola,Jokic,47.07777913411458,72,10700,DET@DEN,DEN,DET,,,,,,44.68,26.7,27.3,0.009987218030808332,32.0,46.65,50.7,Nikola Jokic,18.969468212325797
33857-14513:Kawhi Leonard,33857-14513,SF,Kawhi,Leonard,45.32909268465909,55,10400,CHI@TOR,TOR,CHI,,,,,,45.92,26.0,30.4,0.32255484096434267,35.0,47.2,45.2,Kawhi Leonard,20.026236220689764
33857-15557:Andre Drummond,33857-15557,C,Andre,Drummond,45.24285714285714,70,10200,DET@DEN,DET,DEN,,,,,,49.44,23.2,23.1,0.6591922603580295,35.6,52.6,45.7,Andre Drummond,20.752894689766844
33857-15595:Bradley Beal,33857-15595,SG,Bradley,Beal,44.07066731770834,75,10000,WAS@LAL,WAS,LAL,,,,,,41.260000000000005,20.8,28.3,0.9674388814463598,36.2,53.15,44.6,Bradley Beal,23.67437181903358
33857-14514:Nikola Vucevic,33857-14514,C,Nikola,Vucevic,45.3270263671875,74,9900,ORL@MIA,ORL,MIA,,,,,,47.54,25.8,27.8,0.003629479569163137,32.0,45.55,49.4,Nikola Vucevic,18.86343552655877
33857-14507:Kemba Walker,33857-14507,PG,Kemba,Walker,41.35946077913852,74,9300,SA@CHA,CHO,SAS,,,,,,42.46,21.0,31.2,0.4444909409637827,33.4,48.0,42.6,Kemba Walker,21.034257980506194
33857-9688:LaMarcus Aldridge,33857-9688,PF,LaMarcus,Aldridge,39.00405471389358,74,9200,SA@CHA,SAS,CHO,,,,,,35.56,22.4,26.9,0.9051994992164231,33.6,33.8,43.1,LaMarcus Aldridge,20.966269109983163
33857-80810:De'Aaron Fox,33857-80810,PG,De'Aaron,Fox,36.573971264982866,73,8800,SAC@DAL,SAC,DAL,,,,,,36.08,17.8,24.4,0.9733309656730407,30.6,41.05,38.2,De'Aaron Fox,20.479754901251503
33857-9714:DeMar DeRozan,33857-9714,SG,DeMar,DeRozan,40.265218098958336,69,8700,SA@CHA,SAS,CHO,,,,,,39.76,19.4,28.4,0.3858339234192658,32.4,44.5,41.4,DeMar DeRozan,19.725699061216186
33857-9560:Blake Griffin,33857-9560,PF,Blake,Griffin,41.339437995158455,71,8600,DET@DEN,DET,DEN,,,,,,33.66,20.8,30.1,0.8785242388005569,31.8,39.1,38.9,Blake Griffin,21.902404583911466
33857-42669:Julius Randle,33857-42669,PF,Julius,Randle,37.27647130629595,68,8400,ATL@NO,NOP,ATL,,,,,,41.7,20.8,27.4,0.9270499974625365,32.6,50.8,39.0,Julius Randle,21.973804896165348
33857-9874:Kevin Love,33857-9874,PF,Kevin,Love,34.405263800370065,19,8300,BOS@CLE,CLE,BOS,,,,,,29.639999999999997,20.5,28.0,0.008849212459396624,26.8,37.1,40.0,Kevin Love,17.276911974988007
33857-9623:Chris Paul,33857-9623,PG,Chris,Paul,37.46800048828125,50,8300,HOU@MIL,HOU,MIL,,,,,,38.559999999999995,19.2,22.2,0.49165777042857334,32.8,36.15,36.7,Chris Paul,17.850964664176324
33857-84671:Trae Young,33857-84671,PG,Trae,Young,34.17466796875,75,8200,ATL@NO,ATL,NOP,,,,,,40.379999999999995,16.3,28.2,0.9570576865000411,32.4,36.8,37.2,Trae Young,21.16166592301824
33857-60021:Pascal Siakam,33857-60021,PF,Pascal,Siakam,32.88219044306507,73,8100,CHI@TOR,TOR,CHI,,,,,,39.559999999999995,18.6,20.4,0.8366464915416565,35.8,38.5,35.2,Pascal Siakam,19.07695565648783
33857-55059:Clint Capela,33857-55059,C,Clint,Capela,38.774575443591104,59,8100,HOU@MIL,HOU,MIL,,,,,,36.739999999999995,23.3,18.2,0.7770465149094652,32.8,42.45,37.1,Clint Capela,18.577496963090518
33857-23776:Montrezl Harrell,33857-23776,PF,Montrezl,Harrell,32.635135135135144,74,8000,LAC@MIN,LAC,MIN,,,,,,42.42,23.5,23.2,0.8962848670194341,28.0,44.5,36.4,Montrezl Harrell,19.32824844710794
33857-66236:John Collins,33857-66236,PF,John,Collins,34.4000004359654,56,7900,ATL@NO,ATL,NOP,,,,,,32.7,22.2,23.8,0.9931342094097462,28.0,35.3,37.5,John Collins,19.47221075692286
33857-84679:Marvin Bagley,33857-84679,PF,Marvin,Bagley,28.2654541015625,55,7700,SAC@DAL,SAC,DAL,,,,,,35.92,19.3,23.5,0.6800781172046994,25.4,36.3,36.4,Marvin Bagley,17.36702958805219
33857-9535:Kyle Lowry,33857-9535,PG,Kyle,Lowry,36.09152376853814,59,7600,CHI@TOR,TOR,CHI,,,,,,34.8,17.0,19.7,0.6204247816496155,33.0,38.9,34.6,Kyle Lowry,17.82990192505066
33857-16261:Khris Middleton,33857-16261,SG,Khris,Middleton,32.79583401150174,72,7600,HOU@MIL,MIL,HOU,,,,,,42.68,16.3,24.4,0.12320505759982549,33.6,45.25,35.8,Khris Middleton,17.356687591930704
