entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C
1706378179,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-82744,33983-9673,33983-14528,33983-9585,33983-55058,33983-9655,33983-9560,33983-9966,33983-14514
1706378181,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-66115,33983-9673,33983-14528,33983-9585,33983-14530,33983-9655,33983-14518,33983-9957,33983-84709
1706378184,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-82744,33983-9673,33983-14528,33983-9585,33983-14530,33983-9655,33983-80817,33983-9957,33983-14514
1706378186,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-24247,33983-9673,33983-14528,33983-9585,33983-14530,33983-9655,33983-9560,33983-23447,33983-14514
1706378190,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-66115,33983-9673,33983-14528,33983-9585,33983-9655,33983-16293,33983-14518,33983-9966,33983-14514
1706378191,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-9673,33983-23740,33983-14528,33983-9585,33983-84670,33983-9655,33983-9560,33983-14518,33983-14514
1706378192,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-82744,33983-9673,33983-14528,33983-9585,33983-9655,33983-66968,33983-60021,33983-14518,33983-14514
1706378194,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-66115,33983-9673,33983-14528,33983-9585,33983-55058,33983-9655,33983-9957,33983-23447,33983-14514
1706378196,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-24247,33983-9673,33983-14528,33983-9585,33983-14530,33983-55058,33983-14518,33983-9957,33983-14514
1706378199,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-82744,33983-9673,33983-14528,33983-9585,33983-55058,33983-16293,33983-80817,33983-14518,33983-14514
1706378200,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-66115,33983-9673,33983-14528,33983-9585,33983-66968,33983-16293,33983-9560,33983-14518,33983-84709
1706378202,33983-226215606,$15K Sat NBA Fadeaway (Only $0.25 to Enter),33983-9535,33983-9673,33983-14528,33983-9585,33983-9655,33983-16293,33983-9560,33983-9957,33983-14514
