me,team,OFFRTG,TOV
0,Houston Rockets,114.1,14.1
1,Toronto Raptors,113.0,13.5
2,Golden State Warriors,112.8,15.3
3,Boston Celtics,106.8,14.4
4,Philadelphia 76ers,108.5,16.3
5,Cleveland Cavaliers,112.0,13.9
6,Portland Trail Blazers,108.4,13.9
7,Indiana Pacers,108.5,13.6
8,New Orleans Pelicans,108.5,14.5
9,Oklahoma City Thunder,110.1,14.3
10,Utah Jazz,107.4,15.2
11,Minnesota Timberwolves,112.5,12.8
12,San Antonio Spurs,107.1,13.7
13,Denver Nuggets,111.4,15.1
14,Miami Heat,106.2,14.8
15,Milwaukee Bucks,109.0,14.2
16,Washington Wizards,108.1,14.8
17,LA Clippers,109.4,14.7
18,Detroit Pistons,106.6,13.8
19,Charlotte Hornets,109.0,12.8
20,Los Angeles Lakers,106.0,15.5
21,New York Knicks,106.3,15.0
22,Brooklyn Nets,106.1,15.1
23,Chicago Bulls,103.4,14.1
24,Sacramento Kings,103.1,14.3
25,Orlando Magic,104.7,14.7
26,Atlanta Hawks,104.4,15.7
27,Dallas Mavericks,105.4,12.7
28,Memphis Grizzlies,103.6,15.6
29,Phoenix Suns,102.8,15.5
