,team,gp,g,freq,dfgm,dfga,dfgPercent,fg
0,Denver Nuggets,82.0,82.0,-9000,10.7,31.7,33.9,35.4
1,Houston Rockets,82.0,82.0,-9000,10.1,29.7,33.9,35.3
2,Boston Celtics,82.0,82.0,-9000,11.4,33.4,34.2,35.4
3,Detroit Pistons,82.0,82.0,-9000,9.6,27.8,34.5,35.6
4,Philadelphia 76ers,81.0,81.0,-9000,10.2,29.9,34.2,35.3
5,LA Clippers,82.0,82.0,-9000,10.3,30.0,34.2,35.2
6,Dallas Mavericks,82.0,82.0,-9000,11.2,32.5,34.4,35.4
7,Toronto Raptors,82.0,82.0,-9000,10.7,31.0,34.5,35.3
8,Brooklyn Nets,82.0,82.0,-9000,10.3,30.2,34.1,34.9
9,Los Angeles Lakers,82.0,82.0,-9000,11.8,33.9,34.8,35.5
10,Sacramento Kings,82.0,82.0,-9000,12.0,34.5,34.8,35.3
11,Orlando Magic,80.0,80.0,-9000,10.5,30.1,34.8,35.3
12,Golden State Warriors,82.0,82.0,-9000,11.6,33.2,34.9,35.2
13,Indiana Pacers,82.0,82.0,-9000,11.3,31.9,35.4,35.3
14,Oklahoma City Thunder,81.0,81.0,-9000,11.2,31.6,35.5,35.5
15,Utah Jazz,81.0,81.0,-9000,9.7,27.5,35.3,35.0
16,Miami Heat,82.0,82.0,-9000,11.8,33.1,35.7,35.5
17,Memphis Grizzlies,82.0,82.0,-9000,11.6,32.0,36.0,35.6
18,New York Knicks,81.0,81.0,-9000,11.9,32.6,36.4,35.8
19,Atlanta Hawks,82.0,82.0,-9000,12.3,34.3,35.9,35.2
20,San Antonio Spurs,82.0,82.0,-9000,11.7,32.6,35.9,35.3
21,Charlotte Hornets,81.0,81.0,-9000,12.0,33.4,35.9,35.2
22,Portland Trail Blazers,82.0,82.0,-9000,10.6,29.6,35.9,35.1
23,Chicago Bulls,81.0,81.0,-9000,12.0,32.8,36.6,35.5
24,Milwaukee Bucks,82.0,82.0,-9000,13.1,36.2,36.0,34.9
25,New Orleans Pelicans,82.0,82.0,-9000,12.2,33.6,36.4,35.3
26,Washington Wizards,81.0,81.0,-9000,12.0,32.6,36.8,35.4
27,Phoenix Suns,82.0,82.0,-9000,11.1,29.8,37.2,35.8
28,Cleveland Cavaliers,81.0,81.0,-9000,11.7,31.1,37.5,35.3
29,Minnesota Timberwolves,82.0,82.0,-9000,12.7,33.6,37.8,35.6
